,titleId,title,averageRating,numVotes
121,tt0000175,A Sea Cave Near Lisbon,5.0,172
122,tt0000179,La caverne maudite,4.4,22
123,tt0000181,Cinderella,6.7,36
124,tt0000182,"Come Along, Do!",4.9,473
125,tt0000183,The Corsican Brothers,6.1,17
126,tt0000184,Cripple Creek Bar-Room Scene,4.8,269
127,tt0000190,Dostavenícko ve mlýnici,5.1,116
128,tt0000208,The Miller and the Sweep,5.7,475
129,tt0000210,Les rayons Röntgen,5.2,16
130,tt0000211,La lune à un mètre,7.5,3499
131,tt0000213,Scène d'escamotage,4.6,189
132,tt0000215,Smích a plác,4.1,101
133,tt0000218,L'affaire Dreyfus,5.9,513
134,tt0000222,Au cabaret,4.6,191
135,tt0000225,La belle et la bête,5.1,18
136,tt0000228,La bonne absinthe,4.9,222
137,tt0000229,Casey at the Bat,4.4,85
138,tt0000230,Cendrillon,6.5,1385
139,tt0000231,Portuguese Railway Train,3.6,7
140,tt0000234,Cléopâtre,6.0,39
141,tt0000235,La colonne de feu,6.2,597
142,tt0000240,Distributing a War Extra,4.4,53
143,tt0000242,Le diable au couvent,6.3,953
144,tt0000246,L'impressionniste fin de siècle,6.4,921
145,tt0000247,King John,5.0,412
146,tt0000248,The Kiss in the Tunnel,6.0,1360
147,tt0000261,Un bon lit,5.6,47
148,tt0000264,Évocation spirite,5.7,365
149,tt0000265,Above the Limit,4.4,102
150,tt0000269,Army Life,4.9,100
151,tt0000272,As Seen Through a Telescope,5.6,696
152,tt0000273,Attack on a China Mission,5.6,499
153,tt0000284,Chez le photographe,5.3,186
154,tt0000285,Chinese Magic,5.0,6
155,tt0000286,Chirurgie fin de siècle,5.6,186
156,tt0000299,Le départ d'Arlequin et de Pierrette,5.5,191
157,tt0000300,The Enchanted Drawing,6.9,1074
158,tt0000301,Faust and Marguerite,4.4,326
159,tt0000302,"La fée aux choux, ou la naissance des enfants",5.1,150
160,tt0000304,Grandma's Reading Glass,6.0,1053
161,tt0000306,Le duel d'Hamlet,5.4,176
162,tt0000308,The House That Jack Built,5.6,69
163,tt0000309,How It Feels to Be Run Over,6.1,745
164,tt0000313,Let Me Dream Again,5.8,679
165,tt0000319,Momijigari,5.8,144
166,tt0000335,Soldiers of the Cross,6.0,39
167,tt0000341,Uncle Josh's Nightmare,4.9,299
168,tt0000346,Another Job for the Undertaker,4.7,170
169,tt0000347,Buffalo Bill's Wild West Parade,4.5,85
170,tt0000349,"The Cheese Mites, or Lilliputians in a London Restaurant",5.4,100
171,tt0000350,The Countryman and the Cinematograph,5.8,636
172,tt0000353,Execution of Czolgosz with Panorama of Auburn Prison,5.1,297
173,tt0000355,Fire!,6.1,588
174,tt0000357,The Haunted Curiosity Shop,5.8,360
175,tt0000358,Histoire d'un crime,6.2,597
176,tt0000359,L'homme à la tête en caoutchouc,7.1,2563
177,tt0000363,The Magic Sword,6.1,127
178,tt0000368,Le petit chaperon rouge,6.1,9
179,tt0000370,Scrooge; or Marley's Ghost,5.6,399
180,tt0000373,Les sept châteaux du diable,6.2,56
181,tt0000376,A táncz,7.0,6
182,tt0000377,Undressing Extraordinary,6.1,100
183,tt0000379,Visita de la escuadra inglesa a Barcelona,5.2,6
184,tt0000380,La belle au bois dormant,7.2,13
185,tt0000384,Les chiens savants,5.8,191
186,tt0000387,The Coronation of Edward VII,5.1,295
187,tt0000388,Danse excentrique,5.2,102
188,tt0000399,Jack and the Beanstalk,6.0,657
189,tt0000407,Procesión de las hijas de María de la parroquia de Sans,3.8,27
190,tt0000409,Sage-femme de première classe,5.2,174
191,tt0000410,Demolishing and Building Up the Star Theatre,6.7,880
192,tt0000413,Les trésors de satan,5.5,364
193,tt0000414,Uncle Josh at the Moving Picture Show,5.3,656
194,tt0000416,Les victimes de l'alcoolisme,5.3,130
195,tt0000417,Le voyage dans la lune,8.2,44126
196,tt0000420,Alice in Wonderland,6.3,2371
197,tt0000423,La boîte à malice,5.4,192
198,tt0000425,Buffalo Bill's Parade,5.2,10
199,tt0000430,A Chess Dispute,5.9,613
200,tt0000432,Comment monsieur prend son bain,5.6,169
201,tt0000436,An Extraordinary Cab Accident,6.1,454
202,tt0000437,Faust et Méphistophélès,5.1,195
203,tt0000439,The Great Train Robbery,7.3,17359
204,tt0000440,La guirlande merveilleuse,5.4,184
205,tt0000441,Gulliver en el país de los gigantes,6.5,6
206,tt0000442,Henrettelsen,4.7,60
207,tt0000443,"Hiawatha, the Messiah of the Ojibway",6.0,6
